Index,Taxon,Name_in_tree,Clade,Subclade,Subclade_2,Max_age,Min_age,FL,FC,FML,FAP,TL_TLE,TC,HL,HC,HML,HAP,RC,RL_RLE,MtL,Source,Age/notes,Juvenile,Bonebed,Institution,Specimen,FCoval,HCoval,FCe,FCe_meserr,FCe_method,HCe,HCe_meserr,HCe_method,Mass,Mass_lse (log10)
71,Chromogisaurus_novasi,Chromogisaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Carnian,Carnian,NA,56,NA,19.7,175,NA,NA,NA,NA,NA,NA,NA,NA,Ezcurra 2010; PVSJ 845,not a young juvenile,0,0,"PVSJ, Instituto y Museo de Ciencias Naturales, San Juan, Argentina",PVSJ 845,NA,NA,56,0,measured,NA,NA,NA,13.05282203,0.135
319,Chuandongocoelurus_primitivus,Chuandongocoelurus,Theropoda,basal_theropod,basal_theropod,Bajocian,Callovian,200,63,NA,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,CCG 20100 (RBJB),"not known, but small size if distinctive compared to relatives",0,0,"CCG, Chengdu College of Geology, Chengdu, China",CCG 20100,NA,NA,63,0,measured,NA,NA,NA,18.04420596,0.135
72,Chuanjiesaurus_anaensis,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Oxfordian,Early_Kimmeridgian,1360,NA,197,NA,NA,NA,1042,NA,157,NA,NA,665,NA,"Fang et al. 2000; only briefly described, no data; Sekiya 2011; LCD9701-I (referred specimen)",,0,0,"LCD, Lufeng Chuanjie Dinosaur",LCD9701-I,NA,NA,517.61,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,431.42,0.0325,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,12051.19791,0.205739053
73,Chuanjiesaurus_anaensis,Chuanjiesaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Oxfordian,Early_Kimmeridgian,1375,NA,225,NA,890,NA,1065,NA,167,NA,NA,655,NA,"Fang et al. 2000; only briefly described, no data; Sekiya 2011; holotype",,0,0,"Lfch, Lufeng Museum, China",Lfch 1001,NA,NA,588.14,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,456.19,0.0325,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,15677.79182,0.207158192
74,Chubutisaurus_insignis,Chubutisaurus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Aptian,Aptian,1700,710,282,NA,1015,NA,1460,599,217,NA,NA,840,NA,MACN 18222 (DE); also Del Corro 1975; Salgado 1993; MACN 18222; pers. comm. From J. McIntosh in M. Lamanna PhD thesis,,0,0,"MACN, Museo Argentino de Ciencias Naturales, Buenos Aires, Argentina",MACN 18222,NA,NA,710,0,measured,599,0,measured,29173.99518,0.154015189
734,Chungkingosaurus_jiangbeiensis,Chungkingosaurus_jiangbeiensis,Ornithischia,Stegosauria,Stegosauria,Oxfordian,Early_Kimmeridgian,670,NA,110,NA,487,NA,440,NA,91,NA,NA,NA,NA,Dong et al 1983,"humerus shaft round, diameters given; may not be the same species, but is a larger specimen than the holotype",0,0,"CV, Chongqing",CV 00205,NA,NA,316.29,0.0468,FC_for_quadrupedal_dinosaurs_using_FML_and_equation_.15.,263.47,0.0324,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,3108.808849,0.236638931
75,Chuxiongosaurus_lufengensis,Chuxiongosaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Hettangian,Sinemurian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lu et al. 2010; complete skull 340 mm long,,0,0,Chuxiong Museum,LT9401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,Cimolopteryx,not,Theropoda,Avialae,Avialae,Late_Maastrichtian,Late_Maastrichtian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,four species all known from coracoids; Hope 2002,,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,Citipati_osmolskae,Citipati,Theropoda,Oviraptorosauria,Oviraptorosauria,Late_Campanian,Late_Campanian,NA,127,NA,NA,NA,NA,233,NA,NA,NA,NA,214,NA,"IGM 100/978 (J. Choiniere pers. comm. 20 Nov 2011); fibula 420 mm long (Clark et al.,1999, 2001) - femoral length scaled up from Ingenia",,0,0,"IGM (Institute of Geology, Mongolia)",IGM 100/978,NA,NA,127,0,measured,NA,NA,NA,123.9928836,0.135
735,Claosaurus_agilis,Claosaurus_agilis,Ornithischia,Hadrosauroidea,Hadrosauroidea,Late_Coniacian,Late_Coniacian,697,NA,NA,99,572,NA,360,NA,NA,46,NA,271,216,YPM 1190 (MTC); Lull and Wright 1942,immature; juvenile-shaped scapula: Carpenter et al. 1995,0,0,"YPM, Yale Peabody Museum, New Haven, Connecticut, USA",YPM 1190,NA,NA,258.26,0.0418,FC_for_quadrupedal_iguanodontians_using_FL_and_equation_.30.,170.46,0.0457,HC_for_quadrupedal_iguanodontians_using_HAP_and_equation_.34.,1355.912234,0.275523995
736,Coahuilaceratops_magnacuerna,Coahuilaceratops_magnacuerna,Ornithischia,Ceratopsidae,Ceratopsidae,Late_Campanian,Late_Campanian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loewen et al. 2010,unprepared postcranial elements; snout-quadrate length: 701; total length including frill: 1618,0,0,"CPC, Colección Paleontológica de Coahuila, Saltillo",CPC 276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,Coelophysis_bauri,not,Theropoda,basal_theropod,basal_theropod,Norian,Rhaetian,209,49,NA,NA,224,NA,120,NA,NA,NA,NA,65,126,Colbert (1989); AMNH 7223,,0,0,"AMNH, American Museum of Natural History, New York, USA",AMNH 7223,NA,NA,49,0,measured,NA,NA,NA,9.042061655,0.135
322,Coelophysis_bauri,Coelophysis_bauri,Theropoda,basal_theropod,basal_theropod,Norian,Rhaetian,217,50.5,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMNH 2704 (MTC); 'C. longicollis',,0,0,"AMNH, American Museum of Natural History, New York, USA",AMNH 2704,NA,NA,50.5,0,measured,NA,NA,NA,9.823591568,0.135
324,Coelophysis_kayentakatae,Coelophysis_kayentakatae,Theropoda,basal_theropod,basal_theropod,Sinemurian,Pliensbachian,272,76,23.1,21.6,276,NA,NA,NA,NA,NA,NA,NA,180,"MNA V2623; MCZ 9175 (cast of type, MNA V2623); Rowe 1989",,0,0,"MNA, Museum of Northern Arizona, USA",MNA V2623,70.23,NA,76,0,measured,NA,NA,NA,30.22255528,0.135
325,Coelophysis_rhodesiensis,Coelophysis_rhodesiensis,Theropoda,basal_theropod,basal_theropod,Hettangian,Sinemurian,208,56,17,16.5,214.08,NA,100,NA,NA,NA,NA,61,132,QG1 [holotype] (MTC); Raath 1969,,0,0,"QG, National Museum of Zimbabwe, Bulawayo, Zimbabwe",QG1,52.62,NA,56,0,measured,NA,NA,NA,13.05282203,0.135
326,Coelurus_fragilis,not,Theropoda,basal_coelurosaur,basal_coelurosaur,Kimmeridgian,Tithonian,210,75,19,22,255,NA,119,NA,NA,NA,NA,81,119,YPM 2010 (MTC); S. L. Brusatte pers. comm. 11/2011; Carpenter et al. 2005,,0,0,"YPM, Yale Peabody Museum, New Haven, Connecticut, USA",YPM 2010,64.49,NA,75,0,measured,NA,NA,NA,29.14179731,0.135
